2.51953 0.0390459 0.0100088  0.18264 0.111789 0.0608542 0.0379685
2.53906 0.0396434 0.0601891  0.175028 0.113487 0.062418 0.0386724
2.55859 0.0402546 0.0453826  0.163514 0.113233 0.063431 0.0392869
2.57812 0.0408799 0.0909965  0.148598 0.111097 0.0638884 0.0398123
2.59766 0.0415196 0.0391524  0.130868 0.107197 0.0637987 0.0402507
2.61719 0.0421742 0.0372891  0.110987 0.101698 0.0631829 0.0406064
2.63672 0.0428442 -0.00827246  0.0896596 0.0948034 0.0620743 0.0408856
2.65625 0.04353 0.0616371  0.0676106 0.0867464 0.0605168 0.0410963
2.67578 0.0442322 0.0592598  0.0455599 0.0777852 0.0585644 0.0412482
2.69531 0.0449512 0.0476209  0.0241993 0.0681939 0.0562796 0.0413523
2.71484 0.0456876 0.0178858  0.0041717 0.0582541 0.0537317 0.041421
2.73438 0.046442 0.0302418  -0.0139462 0.0482474 0.0509951 0.0414675
2.75391 0.0472149 0.0517292  -0.0296582 0.0384479 0.0481478 0.0415059
2.77344 0.0480069 0.0781822  -0.0425599 0.0291147 0.0452691 0.0415506
2.79297 0.0488187 -0.00463697  -0.0523455 0.0204862 0.0424387 0.0416161
2.8125 0.0496509 0.0883505  -0.058812 0.0127742 0.0397338 0.0417171
2.83203 0.0505041 0.0707265  -0.0618602 0.00615987 0.0372285 0.0418675
2.85156 0.0513792 0.0385004  -0.0614928 0.000789807 0.0349917 0.042081
2.87109 0.0522767 0.0592388  -0.0578097 -0.00322598 0.0330856 0.04237
2.89062 0.0531976 0.0478714  -0.051002 -0.00581552 0.0315652 0.0427461
2.91016 0.0541425 0.0423592  -0.0413439 -0.00694516 0.0304765 0.0432194
2.92969 0.0551123 0.0512972  -0.0291827 -0.0066188 0.0298561 0.0437988
2.94922 0.0561079 0.0562107  -0.0149286 -0.0048762 0.0297306 0.0444914
2.96875 0.0571301 0.0713955  0.000957383 -0.00179043 0.0301164 0.0453028
2.98828 0.05818 0.0483611  0.0179757 0.00253544 0.0310193 0.0462365
3.00781 0.0592584 0.0746089  0.0356019 0.00797236 0.0324349 0.0472947
3.02734 0.0603665 0.038406  0.0533002 0.0143698 0.0343489 0.0484774
3.04688 0.0615052 0.0357728  0.0705383 0.0215608 0.0367376 0.0497832
3.06641 0.0626757 0.0581506  0.0868024 0.0293669 0.039569 0.0512089
3.08594 0.0638792 0.0729128  0.101612 0.037604 0.0428031 0.0527496
3.10547 0.0651169 0.0532042  0.114534 0.0460872 0.0463936 0.0543993
3.125 0.06639 0.0612344  0.125201 0.054636 0.0502891 0.0561505
3.14453 0.0677 0.0753972  0.133318 0.0630796 0.0544338 0.0579947
3.16406 0.0690481 0.0595384  0.138682 0.0712608 0.0587695 0.0599225
3.18359 0.0704358 0.0714462  0.141186 0.0790402 0.0632367 0.0619239
3.20312 0.0718647 0.0616186  0.140829 0.0862988 0.0677758 0.0639884
3.22266 0.0733363 0.0852118  0.137718 0.092941 0.0723287 0.0661052
3.24219 0.0748524 0.103315  0.132072 0.0988957 0.0768399 0.0682636
3.26172 0.0764147 0.114714  0.124211 0.104117 0.0812573 0.070453
3.28125 0.078025 0.0483365  0.114556 0.108584 0.0855338 0.0726633
3.30078 0.0796852 0.111231  0.103606 0.1123 0.0896276 0.0748849
3.32031 0.0813974 0.115706  0.09193 0.115289 0.0935032 0.0771091
3.33984 0.0831637 0.0893561  0.0801382 0.117595 0.0971315 0.0793281
3.35938 0.0849863 0.0895572  0.068862 0.119279 0.100491 0.0815353
3.37891 0.0868675 0.0888903  0.0587257 0.120413 0.103566 0.083725
3.39844 0.0888099 0.112731  0.0503188 0.121078 0.10635 0.0858933
3.41797 0.0908159 0.118085  0.0441684 0.121361 0.108842 0.0880372
3.4375 0.0928882 0.0905511  0.040713 0.121346 0.111048 0.0901554
3.45703 0.0950298 0.0805603  0.0402787 0.121118 0.11298 0.0922483
3.47656 0.0972437 0.103501  0.0430605 0.120755 0.114658 0.0943175
3.49609 0.0995328 0.126488  0.0491079 0.120324 0.116104 0.0963663
3.51562 0.101901 0.116641  0.0583176 0.119886 0.117346 0.0983995
3.53516 0.104351 0.0974932  0.0704326 0.119486 0.118418 0.100423
3.55469 0.106887 0.110078  0.0850487 0.11916 0.119355 0.102446
3.57422 0.109512 0.121497  0.101629 0.118933 0.120195 0.104476
3.59375 0.112231 0.116871  0.119524 0.11882 0.120978 0.106524
3.61328 0.115049 0.158034  0.138001 0.118826 0.121747 0.108602
3.63281 0.117969 0.150911  0.156275 0.118954 0.122543 0.110724
3.65234 0.120996 0.132621  0.173542 0.119202 0.123411 0.112904
3.67188 0.124136 0.144681  0.189026 0.11957 0.124393 0.115156
3.69141 0.127394 0.188065  0.202008 0.12006 0.125531 0.117498
3.71094 0.130775 0.113351  0.211871 0.120684 0.126865 0.119947
3.73047 0.134285 0.154147  0.21813 0.121458 0.128436 0.122521
3.75 0.137931 0.137394  0.220462 0.122413 0.13028 0.125238
3.76953 0.141719 0.181153  0.218728 0.12359 0.132433 0.128119
3.78906 0.145656 0.15183  0.212988 0.125042 0.134927 0.131183
3.80859 0.14975 0.211373  0.203505 0.126834 0.137791 0.13445
3.82812 0.154008 0.174954  0.19074 0.129044 0.141052 0.137941
3.84766 0.158439 0.169427  0.175342 0.131753 0.144732 0.141677
3.86719 0.163051 0.172299  0.15812 0.135051 0.14885 0.145677
3.88672 0.167853 0.212808  0.140013 0.139029 0.153422 0.149963
3.90625 0.172856 0.170695  0.122053 0.143773 0.158457 0.154555
3.92578 0.17807 0.221978  0.105319 0.149363 0.163964 0.159473
3.94531 0.183504 0.172199  0.0908867 0.155866 0.169946 0.164734
3.96484 0.189172 0.233037  0.0797819 0.163335 0.176401 0.17036
3.98438 0.195085 0.243332  0.07293 0.171799 0.183326 0.176365
4.00391 0.201255 0.254286  0.0711095 0.181268 0.190711 0.182769
4.02344 0.207697 0.25053  0.074912 0.191722 0.198548 0.189586
4.04297 0.214425 0.267279  0.0847085 0.203116 0.206822 0.196832
4.0625 0.221453 0.275224  0.100625 0.215377 0.215518 0.204519
